Number,Experiment,Date,Day,Hour,Transfer,Strain,Media,Temperature,Treatment,Replicate,RF,Rfctrl
11,temperature,2015-01-24,9,96,B,156-4,WC,21,WC21,3,48005.38,11.67
12,temperature,2015-01-24,9,96,B,156-4,WC,15,WC15,3,29618.61,11.67
13,temperature,2015-01-24,9,96,B,168-16,ASW,21,ASW21,1,50838.46,15.51
14,temperature,2015-01-24,9,96,B,168-16,ASW,15,ASW15,1,29843.33,15.51
15,temperature,2015-01-24,9,96,B,168-16,WC,21,WC21,1,51883.28,11.67
16,temperature,2015-01-24,9,96,B,168-16,WC,15,WC15,1,31002.52,11.67
17,temperature,2015-01-24,9,96,B,168-16,ASW,21,ASW21,2,50441.66,15.51
18,temperature,2015-01-24,9,96,B,168-16,ASW,15,ASW15,2,30606.41,15.51
19,temperature,2015-01-24,9,96,B,168-16,WC,21,WC21,2,46610.63,11.67
20,temperature,2015-01-24,9,96,B,168-16,WC,15,WC15,2,30259.86,11.67
21,temperature,2015-01-24,9,96,B,168-16,ASW,21,ASW21,3,50314.15,15.51
22,temperature,2015-01-24,9,96,B,168-16,ASW,15,ASW15,3,30198.29,15.51
23,temperature,2015-01-24,9,96,B,168-16,WC,21,WC21,3,38312.82,11.67
24,temperature,2015-01-24,9,96,B,168-16,WC,15,WC15,3,33691.75,11.67
1,temperature,2015-01-24,9,0,C,156-4,ASW,21,ASW21,1,2806.14,15.26
2,temperature,2015-01-24,9,0,C,156-4,ASW,15,ASW15,1,1831.32,15.26
3,temperature,2015-01-24,9,0,C,156-4,WC,21,WC21,1,1737.89,11.44
4,temperature,2015-01-24,9,0,C,156-4,WC,15,WC15,1,1096.38,11.44
5,temperature,2015-01-24,9,0,C,156-4,ASW,21,ASW21,2,2073.41,15.26
6,temperature,2015-01-24,9,0,C,156-4,ASW,15,ASW15,2,1899.88,15.26
7,temperature,2015-01-24,9,0,C,156-4,WC,21,WC21,2,1762.17,11.44
8,temperature,2015-01-24,9,0,C,156-4,WC,15,WC15,2,1479.4,11.44
9,temperature,2015-01-24,9,0,C,156-4,ASW,21,ASW21,3,1805.77,15.26
10,temperature,2015-01-24,9,0,C,156-4,ASW,15,ASW15,3,1558.25,15.26
11,temperature,2015-01-24,9,0,C,156-4,WC,21,WC21,3,1803,11.44
12,temperature,2015-01-24,9,0,C,156-4,WC,15,WC15,3,1231.88,11.44
13,temperature,2015-01-24,9,0,C,168-16,ASW,21,ASW21,1,1692.35,15.26
14,temperature,2015-01-24,9,0,C,168-16,ASW,15,ASW15,1,1796.81,15.26
15,temperature,2015-01-24,9,0,C,168-16,WC,21,WC21,1,2448.32,11.44
16,temperature,2015-01-24,9,0,C,168-16,WC,15,WC15,1,1617.97,11.44
17,temperature,2015-01-24,9,0,C,168-16,ASW,21,ASW21,2,2283.68,15.26
18,temperature,2015-01-24,9,0,C,168-16,ASW,15,ASW15,2,1639.21,15.26
19,temperature,2015-01-24,9,0,C,168-16,WC,21,WC21,2,2093.53,11.44
20,temperature,2015-01-24,9,0,C,168-16,WC,15,WC15,2,1490.83,11.44
21,temperature,2015-01-24,9,0,C,168-16,ASW,21,ASW21,3,2093.27,15.26
22,temperature,2015-01-24,9,0,C,168-16,ASW,15,ASW15,3,1508.38,15.26
23,temperature,2015-01-24,9,0,C,168-16,WC,21,WC21,3,1629.5,11.44
24,temperature,2015-01-24,9,0,C,168-16,WC,15,WC15,3,1750,11.44
1,temperature,2015-01-25,10,24,C,156-4,ASW,21,ASW21,1,3692.65,15.44
2,temperature,2015-01-25,10,24,C,156-4,ASW,15,ASW15,1,2357.22,15.44
